bom_id,sku_id,fabric_id,fabric_per_unit_meters
BOM_00001,SKU_0001,FAB_014,2.47
BOM_00002,SKU_0001,FAB_020,3.1
BOM_00003,SKU_0001,FAB_017,2.04
BOM_00004,SKU_0001,FAB_004,3.54
BOM_00005,SKU_0002,FAB_017,2.98
BOM_00006,SKU_0002,FAB_030,3.57
BOM_00007,SKU_0002,FAB_026,3.65
BOM_00008,SKU_0003,FAB_007,4.24
BOM_00009,SKU_0003,FAB_012,3.26
BOM_00010,SKU_0003,FAB_014,3.39
BOM_00011,SKU_0003,FAB_003,1.61
BOM_00012,SKU_0003,FAB_022,4.17
BOM_00013,SKU_0004,FAB_010,3.5
BOM_00014,SKU_0004,FAB_022,3.03
BOM_00015,SKU_0004,FAB_014,1.83
BOM_00016,SKU_0004,FAB_011,3.39
BOM_00017,SKU_0004,FAB_013,2.45
BOM_00018,SKU_0005,FAB_029,2.54
BOM_00019,SKU_0005,FAB_006,3.95
BOM_00020,SKU_0005,FAB_020,2.2
BOM_00021,SKU_0005,FAB_019,1.89
BOM_00022,SKU_0005,FAB_010,3.79
BOM_00023,SKU_0006,FAB_021,2.89
BOM_00024,SKU_0006,FAB_011,3.82
BOM_00025,SKU_0006,FAB_015,4.37
BOM_00026,SKU_0006,FAB_022,3.63
BOM_00027,SKU_0006,FAB_007,3.37
BOM_00028,SKU_0007,FAB_017,2.31
BOM_00029,SKU_0007,FAB_022,3.9
BOM_00030,SKU_0007,FAB_021,3.68
BOM_00031,SKU_0007,FAB_020,3.42
BOM_00032,SKU_0008,FAB_026,1.28
BOM_00033,SKU_0008,FAB_007,2.01
BOM_00034,SKU_0008,FAB_005,2.77
BOM_00035,SKU_0009,FAB_015,3.28
BOM_00036,SKU_0009,FAB_014,1.84
BOM_00037,SKU_0009,FAB_029,3.5
BOM_00038,SKU_0010,FAB_013,3.47
BOM_00039,SKU_0010,FAB_008,4.15
BOM_00040,SKU_0010,FAB_005,4.04
BOM_00041,SKU_0010,FAB_021,4.12
BOM_00042,SKU_0011,FAB_008,2.91
BOM_00043,SKU_0011,FAB_006,1.37
BOM_00044,SKU_0011,FAB_026,2.02
BOM_00045,SKU_0011,FAB_023,4.0
BOM_00046,SKU_0012,FAB_005,2.95
BOM_00047,SKU_0012,FAB_026,3.04
BOM_00048,SKU_0012,FAB_015,2.25
BOM_00049,SKU_0012,FAB_022,3.69
BOM_00050,SKU_0013,FAB_020,2.87
BOM_00051,SKU_0013,FAB_027,3.94
BOM_00052,SKU_0013,FAB_024,3.01
BOM_00053,SKU_0013,FAB_029,4.16
BOM_00054,SKU_0014,FAB_028,2.02
BOM_00055,SKU_0014,FAB_016,3.3
BOM_00056,SKU_0014,FAB_015,3.73
BOM_00057,SKU_0014,FAB_009,2.92
BOM_00058,SKU_0014,FAB_025,3.27
BOM_00059,SKU_0015,FAB_015,1.97
BOM_00060,SKU_0015,FAB_003,2.31
BOM_00061,SKU_0015,FAB_023,4.15
BOM_00062,SKU_0015,FAB_010,1.47
BOM_00063,SKU_0016,FAB_008,1.7
BOM_00064,SKU_0016,FAB_013,1.91
BOM_00065,SKU_0016,FAB_023,2.57
BOM_00066,SKU_0017,FAB_018,1.88
BOM_00067,SKU_0017,FAB_015,2.59
BOM_00068,SKU_0017,FAB_014,4.19
BOM_00069,SKU_0017,FAB_002,3.13
BOM_00070,SKU_0018,FAB_001,2.46
BOM_00071,SKU_0018,FAB_028,1.22
BOM_00072,SKU_0018,FAB_029,2.36
BOM_00073,SKU_0018,FAB_025,3.69
BOM_00074,SKU_0018,FAB_019,4.02
BOM_00075,SKU_0019,FAB_018,4.16
BOM_00076,SKU_0019,FAB_024,2.81
BOM_00077,SKU_0019,FAB_026,2.1
BOM_00078,SKU_0019,FAB_020,2.8
BOM_00079,SKU_0020,FAB_011,3.59
BOM_00080,SKU_0020,FAB_022,3.97
BOM_00081,SKU_0020,FAB_026,4.23
BOM_00082,SKU_0020,FAB_013,4.44
BOM_00083,SKU_0021,FAB_001,1.29
BOM_00084,SKU_0021,FAB_030,3.32
BOM_00085,SKU_0021,FAB_013,1.65
BOM_00086,SKU_0021,FAB_019,2.72
BOM_00087,SKU_0021,FAB_022,1.37
BOM_00088,SKU_0022,FAB_011,4.1
BOM_00089,SKU_0022,FAB_007,2.12
BOM_00090,SKU_0022,FAB_015,4.34
BOM_00091,SKU_0022,FAB_025,2.59
BOM_00092,SKU_0023,FAB_016,2.98
BOM_00093,SKU_0023,FAB_001,4.5
BOM_00094,SKU_0023,FAB_024,2.35
BOM_00095,SKU_0024,FAB_003,4.33
