inventory_id,sku_id,location_id,opening_stock_units,allocated_units,available_stock_units,safety_stock_threshold
INV_00001,SKU_0033,PLANT_02,592,427,165,403
INV_00002,SKU_0049,DC_01,2807,1142,1665,704
INV_00003,SKU_0041,DC_01,1055,415,640,453
INV_00004,SKU_0048,PLANT_04,4650,4605,45,465
INV_00005,SKU_0015,PLANT_03,550,158,392,651
INV_00006,SKU_0038,DC_05,3230,1498,1732,502
INV_00007,SKU_0027,DC_05,738,279,459,399
INV_00008,SKU_0002,PLANT_01,3207,1484,1723,772
INV_00009,SKU_0023,PLANT_05,4424,3987,437,708
INV_00010,SKU_0034,PLANT_03,791,761,30,369
INV_00011,SKU_0028,DC_02,4444,1372,3072,621
INV_00012,SKU_0040,DC_02,4273,2845,1428,536
INV_00013,SKU_0012,PLANT_02,3891,3141,750,328
INV_00014,SKU_0016,DC_04,4768,2552,2216,589
INV_00015,SKU_0038,DC_03,3084,2374,710,574
INV_00016,SKU_0002,PLANT_05,653,313,340,595
INV_00017,SKU_0006,DC_02,3217,1548,1669,333
INV_00018,SKU_0007,DC_01,1723,674,1049,730
INV_00019,SKU_0004,PLANT_04,755,447,308,492
INV_00020,SKU_0042,PLANT_03,4876,1459,3417,592
INV_00021,SKU_0035,DC_03,3691,867,2824,604
INV_00022,SKU_0002,PLANT_03,1457,731,726,661
INV_00023,SKU_0005,PLANT_01,3076,3007,69,316
INV_00024,SKU_0003,DC_05,2724,1795,929,344
INV_00025,SKU_0039,PLANT_01,4571,2046,2525,490
INV_00026,SKU_0040,DC_05,4202,2579,1623,410
INV_00027,SKU_0016,DC_02,4801,2576,2225,389
INV_00028,SKU_0031,PLANT_01,1419,866,553,701
INV_00029,SKU_0048,PLANT_02,806,306,500,767
INV_00030,SKU_0042,PLANT_04,1258,1008,250,559
INV_00031,SKU_0023,DC_01,704,594,110,763
INV_00032,SKU_0006,DC_05,4596,1362,3234,397
INV_00033,SKU_0014,PLANT_04,3286,2080,1206,675
INV_00034,SKU_0025,PLANT_04,4789,2642,2147,697
INV_00035,SKU_0037,DC_03,3181,686,2495,693
INV_00036,SKU_0018,DC_03,1304,1157,147,646
INV_00037,SKU_0028,DC_03,1587,520,1067,670
INV_00038,SKU_0017,PLANT_04,799,570,229,498
INV_00039,SKU_0005,PLANT_03,4779,1048,3731,302
INV_00040,SKU_0031,PLANT_05,3047,280,2767,651
INV_00041,SKU_0039,PLANT_03,1213,782,431,539
INV_00042,SKU_0049,DC_04,877,205,672,566
INV_00043,SKU_0047,PLANT_01,3059,192,2867,595
INV_00044,SKU_0016,DC_05,3057,2716,341,756
INV_00045,SKU_0031,PLANT_03,2219,1414,805,402
INV_00046,SKU_0032,PLANT_02,2077,686,1391,441
INV_00047,SKU_0020,PLANT_02,4860,2714,2146,695
INV_00048,SKU_0004,PLANT_02,4113,2848,1265,360
INV_00049,SKU_0045,PLANT_04,2733,711,2022,380
INV_00050,SKU_0030,PLANT_04,2741,568,2173,307
INV_00051,SKU_0024,DC_02,4711,938,3773,405
INV_00052,SKU_0047,PLANT_05,4944,2969,1975,581
INV_00053,SKU_0049,DC_02,3109,1210,1899,372
INV_00054,SKU_0016,DC_03,2820,2451,369,425
INV_00055,SKU_0021,PLANT_04,1903,245,1658,459
INV_00056,SKU_0007,DC_04,3274,2314,960,527
INV_00057,SKU_0014,PLANT_02,915,233,682,314
INV_00058,SKU_0025,PLANT_02,4356,513,3843,354
INV_00059,SKU_0050,PLANT_01,3642,320,3322,344
INV_00060,SKU_0017,PLANT_02,3993,1705,2288,391
INV_00061,SKU_0015,DC_04,4152,2624,1528,482
INV_00062,SKU_0026,DC_05,3059,1461,1598,718
INV_00063,SKU_0037,PLANT_01,2123,1560,563,688
INV_00064,SKU_0024,DC_05,4870,743,4127,798
INV_00065,SKU_0036,PLANT_01,4314,1179,3135,347
INV_00066,SKU_0007,DC_02,4336,896,3440,533
INV_00067,SKU_0035,PLANT_03,3042,2903,139,629
INV_00068,SKU_0023,DC_04,4312,3954,358,418
INV_00069,SKU_0001,PLANT_01,2333,688,1645,740
INV_00070,SKU_0050,PLANT_05,2613,1588,1025,500
INV_00071,SKU_0038,PLANT_04,2002,1532,470,769
INV_00072,SKU_0027,PLANT_04,3206,1430,1776,532
INV_00073,SKU_0045,PLANT_02,4493,347,4146,333
INV_00074,SKU_0030,PLANT_02,4393,1024,3369,479
