constraint_id,fabric_id,plant_id,max_weekly_throughput_meters,mcq_meters,fabric_lead_time_weeks
FC_00001,FAB_017,PLANT_03,14597,500,6
FC_00002,FAB_029,PLANT_05,10090,500,2
FC_00003,FAB_020,PLANT_03,19250,1000,3
FC_00004,FAB_012,PLANT_04,18773,200,3
FC_00005,FAB_002,PLANT_05,14206,1000,4
FC_00006,FAB_010,PLANT_04,8866,1000,4
FC_00007,FAB_005,PLANT_03,19591,200,6
FC_00008,FAB_025,PLANT_02,14852,1000,5
FC_00009,FAB_024,PLANT_04,10999,500,4
FC_00010,FAB_028,PLANT_03,15678,1000,4
FC_00011,FAB_016,PLANT_03,12519,500,6
FC_00012,FAB_011,PLANT_03,19771,200,4
FC_00013,FAB_001,PLANT_02,18414,200,4
FC_00014,FAB_027,PLANT_02,14660,500,2
FC_00015,FAB_023,PLANT_02,18398,200,2
FC_00016,FAB_015,PLANT_04,19959,200,2
FC_00017,FAB_019,PLANT_04,10705,1000,2
FC_00018,FAB_023,PLANT_01,9385,1000,4
FC_00019,FAB_027,PLANT_01,17079,500,2
FC_00020,FAB_016,PLANT_04,14946,1000,6
FC_00021,FAB_014,PLANT_01,19973,200,5
FC_00022,FAB_021,PLANT_04,16156,1000,6
FC_00023,FAB_008,PLANT_02,19434,200,5
FC_00024,FAB_007,PLANT_04,8227,1000,3
FC_00025,FAB_003,PLANT_03,8119,1000,5
FC_00026,FAB_009,PLANT_03,19511,1000,4
FC_00027,FAB_013,PLANT_04,12001,1000,6
FC_00028,FAB_030,PLANT_01,19207,1000,2
FC_00029,FAB_008,PLANT_01,17951,500,3
FC_00030,FAB_026,PLANT_03,19051,1000,3
FC_00031,FAB_022,PLANT_03,10864,200,4
FC_00032,FAB_027,PLANT_05,10184,1000,4
FC_00033,FAB_023,PLANT_05,8834,500,5
FC_00034,FAB_004,PLANT_03,14211,200,4
FC_00035,FAB_012,PLANT_02,9855,500,3
FC_00036,FAB_003,PLANT_04,16832,200,4
FC_00037,FAB_018,PLANT_01,12901,500,4
FC_00038,FAB_010,PLANT_02,12337,200,2
FC_00039,FAB_024,PLANT_02,18341,1000,5
FC_00040,FAB_006,PLANT_04,11562,500,6
FC_00041,FAB_030,PLANT_05,8580,500,6
FC_00042,FAB_014,PLANT_03,15999,200,4
FC_00043,FAB_008,PLANT_05,8096,1000,5
FC_00044,FAB_010,PLANT_01,13382,500,4
FC_00045,FAB_029,PLANT_03,9755,200,4
FC_00046,FAB_030,PLANT_03,19836,200,5
FC_00047,FAB_015,PLANT_02,13808,200,2
FC_00048,FAB_017,PLANT_04,15058,500,3
FC_00049,FAB_019,PLANT_02,9388,1000,6
FC_00050,FAB_002,PLANT_03,10518,500,2
FC_00051,FAB_025,PLANT_01,15985,200,3
FC_00052,FAB_018,PLANT_05,18758,500,3
FC_00053,FAB_020,PLANT_04,15711,500,4
FC_00054,FAB_015,PLANT_01,12903,500,5
FC_00055,FAB_012,PLANT_05,10984,1000,4
FC_00056,FAB_019,PLANT_01,9780,500,5
FC_00057,FAB_021,PLANT_02,10651,200,4
FC_00058,FAB_005,PLANT_04,15110,200,4
FC_00059,FAB_029,PLANT_04,19619,200,2
FC_00060,FAB_001,PLANT_01,11105,500,2
FC_00061,FAB_018,PLANT_03,10190,500,5
FC_00062,FAB_010,PLANT_05,13426,200,3
FC_00063,FAB_007,PLANT_02,18915,200,5
FC_00064,FAB_013,PLANT_02,18899,500,2
FC_00065,FAB_028,PLANT_04,14899,500,6
FC_00066,FAB_011,PLANT_04,16119,1000,3
FC_00067,FAB_013,PLANT_01,13322,500,6
FC_00068,FAB_025,PLANT_05,19894,1000,5
FC_00069,FAB_015,PLANT_05,10153,200,2
FC_00070,FAB_019,PLANT_05,8346,200,3
FC_00071,FAB_003,PLANT_02,13638,1000,2
FC_00072,FAB_001,PLANT_05,19213,200,2
FC_00073,FAB_006,PLANT_02,19113,500,5
FC_00074,FAB_021,PLANT_05,17782,1000,2
FC_00075,FAB_009,PLANT_04,15116,500,4
FC_00076,FAB_023,PLANT_03,12623,500,2
FC_00077,FAB_027,PLANT_03,15027,200,6
FC_00078,FAB_013,PLANT_05,10498,1000,6
FC_00079,FAB_006,PLANT_01,11061,200,4
FC_00080,FAB_012,PLANT_01,9884,500,3
FC_00081,FAB_026,PLANT_04,18917,500,3
FC_00082,FAB_022,PLANT_04,15764,1000,2
FC_00083,FAB_017,PLANT_02,19487,1000,6
FC_00084,FAB_004,PLANT_04,18012,200,3
FC_00085,FAB_024,PLANT_01,17686,1000,3
FC_00086,FAB_020,PLANT_02,11758,200,3
FC_00087,FAB_017,PLANT_01,14574,200,4
FC_00088,FAB_008,PLANT_03,11148,200,5
FC_00089,FAB_005,PLANT_02,8289,1000,3
FC_00090,FAB_029,PLANT_02,9489,200,5
FC_00091,FAB_020,PLANT_01,14673,1000,4
FC_00092,FAB_028,PLANT_02,19471,1000,3
FC_00093,FAB_016,PLANT_02,11633,500,5
FC_00094,FAB_011,PLANT_02,15851,200,6
FC_00095,FAB_014,PLANT_04,14997,1000,2
FC_00096,FAB_006,PLANT_05,12985,200,4
FC_00097,FAB_016,PLANT_01,13956,500,4
FC_00098,FAB_011,PLANT_01,19658,500,3
FC_00099,FAB_030,PLANT_04,13240,200,3
FC_00100,FAB_024,PLANT_05,8669,200,2
FC_00101,FAB_021,PLANT_01,18820,1000,4
FC_00102,FAB_012,PLANT_03,11473,500,5
FC_00103,FAB_017,PLANT_05,12590,1000,2
FC_00104,FAB_002,PLANT_04,15059,200,4
FC_00105,FAB_007,PLANT_01,16049,500,4
FC_00106,FAB_010,PLANT_03,12986,200,2
FC_00107,FAB_024,PLANT_03,18960,200,6
FC_00108,FAB_020,PLANT_05,10134,500,4
FC_00109,FAB_018,PLANT_04,13920,1000,6
FC_00110,FAB_005,PLANT_05,16664,1000,4
FC_00111,FAB_009,PLANT_02,11903,1000,4
FC_00112,FAB_025,PLANT_03,11441,1000,5
FC_00113,FAB_028,PLANT_05,9429,200,3
FC_00114,FAB_016,PLANT_05,18314,1000,6
FC_00115,FAB_011,PLANT_05,9971,200,6
FC_00116,FAB_015,PLANT_03,18720,200,3
FC_00117,FAB_026,PLANT_02,19545,500,2
FC_00118,FAB_022,PLANT_02,9226,1000,6
FC_00119,FAB_019,PLANT_03,13618,500,5
FC_00120,FAB_003,PLANT_01,11309,1000,3
FC_00121,FAB_009,PLANT_01,8717,200,3
FC_00122,FAB_004,PLANT_02,14851,1000,4
FC_00123,FAB_001,PLANT_03,17180,500,4
FC_00124,FAB_007,PLANT_05,15347,1000,2
FC_00125,FAB_026,PLANT_01,15145,200,5
FC_00126,FAB_022,PLANT_01,14864,1000,6
FC_00127,FAB_021,PLANT_03,8358,200,6
FC_00128,FAB_004,PLANT_01,12491,1000,3
FC_00129,FAB_025,PLANT_04,12745,200,6
FC_00130,FAB_007,PLANT_03,8996,1000,3
FC_00131,FAB_013,PLANT_03,14512,500,6
FC_00132,FAB_014,PLANT_02,16412,200,3
FC_00133,FAB_023,PLANT_04,15172,1000,5
FC_00134,FAB_027,PLANT_04,17215,500,5
FC_00135,FAB_001,PLANT_04,17948,500,3
FC_00136,FAB_009,PLANT_05,11015,200,3
FC_00137,FAB_003,PLANT_05,17369,200,6
FC_00138,FAB_030,PLANT_02,19415,200,6
FC_00139,FAB_026,PLANT_05,15461,1000,6
FC_00140,FAB_022,PLANT_05,12240,500,3
FC_00141,FAB_002,PLANT_02,12855,1000,4
FC_00142,FAB_029,PLANT_01,17046,200,3
