po_id,supplier_id,fabric_id,order_quantity_meters,unit_price,total_po_value,order_date,promised_delivery_date,actual_delivery_date,contracted_lead_time_days,actual_lead_time_days,delayed_days,is_on_time,quality_pass_rate_pct,risk_category
PO_000001,SUP_019,FAB_024,13239,5.38,71225.82,2024-12-11,2024-12-25,2024-12-30,14,19,5,0,95.16,Medium
PO_000002,SUP_010,FAB_025,13038,19.23,250720.74,2024-06-16,2024-07-18,2024-07-20,32,34,2,0,90.62,Medium
PO_000003,SUP_006,FAB_008,17788,16.35,290833.8,2024-11-09,2024-12-18,2024-12-19,39,40,1,0,96.52,Medium
PO_000004,SUP_022,FAB_020,1533,10.02,15360.66,2025-06-26,2025-07-24,2025-07-24,28,28,0,1,100.0,Low
PO_000005,SUP_017,FAB_015,18732,14.49,271426.68,2025-04-11,2025-05-03,2025-05-03,22,22,0,1,88.32,Low
PO_000006,SUP_017,FAB_015,14543,14.49,210728.07,2025-11-18,2025-12-10,2025-12-10,22,22,0,1,87.37,Low
PO_000007,SUP_005,FAB_014,9781,19.38,189555.78,2025-05-14,2025-06-15,2025-06-16,32,33,1,0,91.71,Medium
PO_000008,SUP_014,FAB_011,10277,6.09,62586.93,2025-09-12,2025-10-05,2025-10-17,23,35,12,0,94.9,High
PO_000009,SUP_024,FAB_028,10169,18.15,184567.35,2025-03-09,2025-03-24,2025-03-28,15,19,4,0,94.08,Medium
PO_000010,SUP_002,FAB_027,11737,11.4,133801.8,2025-09-02,2025-10-03,2025-10-06,31,34,3,0,93.11,Medium
PO_000011,SUP_012,FAB_023,12145,7.53,91451.85,2025-08-07,2025-09-01,2025-09-05,25,29,4,0,93.41,Medium
PO_000012,SUP_020,FAB_027,7381,10.12,74695.72,2024-03-03,2024-03-24,2024-03-28,21,25,4,0,96.37,Medium
PO_000013,SUP_020,FAB_010,2093,5.04,10548.72,2025-03-22,2025-04-21,2025-05-01,30,40,10,0,93.67,High
PO_000014,SUP_009,FAB_019,17669,17.77,313978.13,2024-12-10,2025-01-01,2025-01-02,22,23,1,0,96.82,Medium
PO_000015,SUP_024,FAB_015,18861,12.36,233121.96,2025-07-27,2025-08-23,2025-08-28,27,32,5,0,84.77,High
PO_000016,SUP_019,FAB_015,14851,14.82,220091.82,2024-05-03,2024-05-31,2024-05-31,28,28,0,1,92.96,Low
PO_000017,SUP_007,FAB_011,7490,5.74,42992.6,2025-06-18,2025-07-24,2025-07-27,36,39,3,0,94.19,Medium
PO_000018,SUP_004,FAB_018,4270,12.22,52179.4,2024-04-21,2024-05-05,2024-05-06,14,15,1,0,89.0,Medium
PO_000019,SUP_005,FAB_016,3767,5.84,21999.28,2025-06-26,2025-07-24,2025-07-25,28,29,1,0,96.84,Medium
PO_000020,SUP_001,FAB_024,10076,4.4,44334.4,2024-10-12,2024-11-09,2024-11-11,28,30,2,0,98.85,Medium
