material_demand_id,plant_id,fabric_id,period,required_meters,urgency_level
MD_00001,PLANT_04,FAB_005,2027-M06,4187,High
MD_00002,PLANT_05,FAB_008,2026-M07,14380,Critical
MD_00003,PLANT_05,FAB_024,2027-M12,24889,Normal
MD_00004,PLANT_01,FAB_004,2027-M10,5549,Critical
MD_00005,PLANT_04,FAB_024,2026-M01,15536,High
MD_00006,PLANT_01,FAB_013,2027-M01,18716,Normal
MD_00007,PLANT_02,FAB_011,2027-M12,18012,Critical
MD_00008,PLANT_04,FAB_030,2026-M08,4345,Normal
MD_00009,PLANT_05,FAB_025,2027-M03,21303,Normal
MD_00010,PLANT_01,FAB_017,2026-M08,4819,Critical
MD_00011,PLANT_04,FAB_002,2027-M05,19587,High
MD_00012,PLANT_03,FAB_012,2026-M08,13326,Normal
MD_00013,PLANT_05,FAB_024,2027-M03,20118,High
MD_00014,PLANT_02,FAB_017,2026-M11,19545,High
MD_00015,PLANT_04,FAB_015,2027-M11,6549,Critical
MD_00016,PLANT_04,FAB_015,2027-M07,13297,Normal
MD_00017,PLANT_02,FAB_011,2026-M12,18805,Critical
MD_00018,PLANT_05,FAB_002,2027-M09,13070,Normal
MD_00019,PLANT_02,FAB_006,2026-M11,12933,High
MD_00020,PLANT_03,FAB_020,2027-M04,23768,High
MD_00021,PLANT_05,FAB_028,2027-M10,19833,High
MD_00022,PLANT_04,FAB_020,2027-M03,3415,High
MD_00023,PLANT_02,FAB_006,2026-M02,7253,High
MD_00024,PLANT_03,FAB_026,2026-M11,23726,Critical
MD_00025,PLANT_05,FAB_002,2026-M06,9229,Critical
MD_00026,PLANT_04,FAB_025,2026-M02,6264,High
MD_00027,PLANT_01,FAB_005,2026-M09,23233,Normal
MD_00028,PLANT_05,FAB_016,2027-M07,19645,High
MD_00029,PLANT_05,FAB_011,2027-M07,6989,Critical
MD_00030,PLANT_04,FAB_018,2027-M02,18169,Critical
MD_00031,PLANT_01,FAB_009,2027-M07,4563,High
MD_00032,PLANT_05,FAB_013,2027-M06,24875,Normal
