route_id,dc_id,store_id,transit_lead_time_days,transportation_cost_per_unit,expedited_cost_per_unit
ROUTE_00001,DC_02,STORE_0046,3,1.28,5.97
ROUTE_00002,DC_02,STORE_0017,7,2.44,8.04
ROUTE_00003,DC_04,STORE_0059,6,0.9,5.61
ROUTE_00004,DC_02,STORE_0069,1,2.84,10.45
ROUTE_00005,DC_03,STORE_0089,1,2.48,9.55
ROUTE_00006,DC_03,STORE_0070,5,3.43,8.85
ROUTE_00007,DC_02,STORE_0091,6,1.23,8.94
ROUTE_00008,DC_05,STORE_0056,5,1.71,7.12
ROUTE_00009,DC_03,STORE_0018,6,2.0,7.78
ROUTE_00010,DC_03,STORE_0003,6,4.06,5.17
ROUTE_00011,DC_03,STORE_0051,3,4.14,11.38
ROUTE_00012,DC_05,STORE_0002,1,2.69,9.27
ROUTE_00013,DC_01,STORE_0074,1,2.04,9.79
ROUTE_00014,DC_04,STORE_0042,1,3.63,8.02
ROUTE_00015,DC_02,STORE_0086,4,1.43,9.22
ROUTE_00016,DC_02,STORE_0099,2,2.02,7.42
ROUTE_00017,DC_05,STORE_0051,3,3.99,5.65
ROUTE_00018,DC_02,STORE_0041,5,1.78,9.84
ROUTE_00019,DC_02,STORE_0008,5,1.78,8.67
ROUTE_00020,DC_03,STORE_0036,4,3.43,6.1
ROUTE_00021,DC_01,STORE_0035,7,3.82,7.15
ROUTE_00022,DC_04,STORE_0082,5,2.53,8.14
ROUTE_00023,DC_01,STORE_0032,6,3.96,11.64
ROUTE_00024,DC_01,STORE_0014,6,2.69,8.57
ROUTE_00025,DC_02,STORE_0086,5,1.62,11.03
ROUTE_00026,DC_01,STORE_0059,3,1.59,11.41
ROUTE_00027,DC_04,STORE_0023,5,0.97,11.46
ROUTE_00028,DC_01,STORE_0085,4,2.04,11.82
ROUTE_00029,DC_03,STORE_0047,4,3.17,11.77
ROUTE_00030,DC_02,STORE_0095,2,2.42,5.51
ROUTE_00031,DC_04,STORE_0018,7,2.43,9.61
ROUTE_00032,DC_05,STORE_0092,6,2.59,7.92
ROUTE_00033,DC_03,STORE_0083,6,3.04,8.42
ROUTE_00034,DC_02,STORE_0038,4,0.9,9.64
ROUTE_00035,DC_01,STORE_0045,1,4.08,9.85
ROUTE_00036,DC_01,STORE_0077,2,2.02,10.04
ROUTE_00037,DC_03,STORE_0066,7,4.03,11.83
ROUTE_00038,DC_02,STORE_0051,6,2.73,6.18
ROUTE_00039,DC_01,STORE_0059,7,0.98,6.04
ROUTE_00040,DC_03,STORE_0084,6,4.38,9.54
ROUTE_00041,DC_02,STORE_0049,4,4.18,8.05
ROUTE_00042,DC_02,STORE_0037,3,1.5,10.3
ROUTE_00043,DC_02,STORE_0071,2,2.45,6.19
ROUTE_00044,DC_01,STORE_0026,1,1.49,8.46
ROUTE_00045,DC_02,STORE_0017,7,0.91,7.12
ROUTE_00046,DC_03,STORE_0002,6,0.89,6.91
ROUTE_00047,DC_02,STORE_0039,3,1.82,10.69
ROUTE_00048,DC_02,STORE_0022,4,4.36,11.33
ROUTE_00049,DC_05,STORE_0018,5,1.06,6.07
ROUTE_00050,DC_02,STORE_0036,7,1.7,6.84
ROUTE_00051,DC_04,STORE_0022,6,0.88,11.04
ROUTE_00052,DC_05,STORE_0091,3,1.86,11.67
ROUTE_00053,DC_04,STORE_0050,7,1.34,8.87
ROUTE_00054,DC_02,STORE_0044,6,2.16,9.23
ROUTE_00055,DC_05,STORE_0037,5,1.4,10.53
ROUTE_00056,DC_04,STORE_0045,5,2.23,7.58
ROUTE_00057,DC_05,STORE_0064,4,3.66,11.28
ROUTE_00058,DC_05,STORE_0033,1,4.37,11.55
ROUTE_00059,DC_01,STORE_0065,7,3.63,10.56
ROUTE_00060,DC_04,STORE_0012,1,2.36,6.54
ROUTE_00061,DC_05,STORE_0083,1,2.26,6.49
ROUTE_00062,DC_01,STORE_0065,2,3.28,6.85
