markdown_id,sku_id,period,original_price,discount_percentage,discounted_price,units_sold_post_markdown,remaining_unallocated_stock
MKD_00001,SKU_0036,2026-W16,93.96,15,79.87,1597,797
MKD_00002,SKU_0039,2026-W24,40.93,50,20.46,2173,432
MKD_00003,SKU_0030,2026-W36,142.37,25,106.78,2317,1230
MKD_00004,SKU_0008,2026-W44,132.98,35,86.44,768,723
MKD_00005,SKU_0030,2026-W12,142.37,50,71.19,1271,1143
MKD_00006,SKU_0003,2026-W26,53.62,25,40.21,2300,218
MKD_00007,SKU_0039,2026-W27,40.93,35,26.6,585,1241
MKD_00008,SKU_0028,2026-W44,44.72,50,22.36,2281,279
MKD_00009,SKU_0048,2026-W49,74.81,50,37.41,1440,248
MKD_00010,SKU_0034,2026-W17,104.29,15,88.65,2020,206
MKD_00011,SKU_0017,2026-W10,44.35,15,37.7,2700,1453
MKD_00012,SKU_0015,2026-W13,25.27,50,12.63,894,401
MKD_00013,SKU_0034,2026-W48,104.29,15,88.65,985,1342
MKD_00014,SKU_0029,2026-W51,108.48,15,92.21,599,535
MKD_00015,SKU_0049,2026-W32,105.19,35,68.37,918,186
MKD_00016,SKU_0037,2026-W32,34.41,50,17.2,1301,1202
MKD_00017,SKU_0047,2026-W25,63.15,50,31.57,2277,806
MKD_00018,SKU_0005,2026-W24,92.4,50,46.2,1159,1008
MKD_00019,SKU_0025,2026-W02,82.15,50,41.08,1292,1378
MKD_00020,SKU_0047,2026-W31,63.15,25,47.36,1535,1371
MKD_00021,SKU_0039,2026-W20,40.93,15,34.79,1249,1215
MKD_00022,SKU_0016,2026-W44,77.88,50,38.94,1607,101
MKD_00023,SKU_0022,2026-W01,102.42,25,76.81,2554,1380
MKD_00024,SKU_0013,2026-W25,146.12,25,109.59,451,310
MKD_00025,SKU_0019,2026-W32,87.86,50,43.93,758,817
MKD_00026,SKU_0005,2026-W41,92.4,15,78.54,2511,1485
MKD_00027,SKU_0036,2026-W32,93.96,25,70.47,514,593
MKD_00028,SKU_0011,2026-W19,47.94,25,35.95,2371,1353
MKD_00029,SKU_0005,2026-W25,92.4,25,69.3,459,726
MKD_00030,SKU_0013,2026-W18,146.12,50,73.06,1710,856
MKD_00031,SKU_0029,2026-W28,108.48,50,54.24,1312,1266
MKD_00032,SKU_0020,2026-W35,131.42,15,111.71,648,1269
MKD_00033,SKU_0009,2026-W22,32.58,50,16.29,2376,661
MKD_00034,SKU_0046,2026-W32,132.32,25,99.24,2105,855
MKD_00035,SKU_0038,2026-W29,129.32,35,84.06,2772,480
MKD_00036,SKU_0011,2026-W43,47.94,50,23.97,513,270
MKD_00037,SKU_0038,2026-W17,129.32,25,96.99,2975,868
MKD_00038,SKU_0030,2026-W40,142.37,35,92.54,1588,1091
MKD_00039,SKU_0040,2026-W14,51.26,50,25.63,1307,1071
MKD_00040,SKU_0008,2026-W39,132.98,15,113.03,1122,753
MKD_00041,SKU_0008,2026-W02,132.98,50,66.49,2562,1033
MKD_00042,SKU_0008,2026-W21,132.98,50,66.49,516,1181
MKD_00043,SKU_0008,2026-W04,132.98,50,66.49,1134,1493
MKD_00044,SKU_0029,2026-W05,108.48,50,54.24,1188,770
MKD_00045,SKU_0011,2026-W10,47.94,35,31.16,2557,310
MKD_00046,SKU_0028,2026-W22,44.72,35,29.07,1284,1213
MKD_00047,SKU_0017,2026-W22,44.35,35,28.83,1518,432
MKD_00048,SKU_0041,2026-W09,122.51,50,61.26,1440,657
MKD_00049,SKU_0041,2026-W23,122.51,50,61.26,1130,1369
MKD_00050,SKU_0041,2026-W41,122.51,50,61.26,2952,1293
MKD_00051,SKU_0045,2026-W43,58.35,25,43.76,438,283
MKD_00052,SKU_0019,2026-W40,87.86,25,65.89,987,507
MKD_00053,SKU_0031,2026-W24,117.8,25,88.35,2645,1481
MKD_00054,SKU_0039,2026-W35,40.93,50,20.46,1981,1465
MKD_00055,SKU_0021,2026-W25,75.47,15,64.15,2009,152
MKD_00056,SKU_0008,2026-W26,132.98,15,113.03,1714,789
MKD_00057,SKU_0034,2026-W23,104.29,50,52.15,687,267
MKD_00058,SKU_0023,2026-W16,141.84,15,120.56,1626,845
MKD_00059,SKU_0024,2026-W52,58.2,15,49.47,2527,1487
MKD_00060,SKU_0004,2026-W27,89.27,15,75.88,1937,1440
