sell_through_id,sku_id,selling_week,units_available,units_sold,sell_through_rate
ST_000001,SKU_0046,2026-W18,9429,3045,0.3229
ST_000002,SKU_0038,2026-W16,7850,4363,0.5558
ST_000003,SKU_0022,2026-W38,5878,3711,0.6313
ST_000004,SKU_0029,2026-W03,5978,296,0.0495
ST_000005,SKU_0002,2026-W40,7556,2253,0.2982
ST_000006,SKU_0027,2026-W26,4187,1462,0.3492
ST_000007,SKU_0012,2026-W19,9593,7970,0.8308
ST_000008,SKU_0026,2026-W13,8578,1363,0.1589
ST_000009,SKU_0029,2026-W17,6413,3370,0.5255
ST_000010,SKU_0017,2026-W29,6626,2629,0.3968
ST_000011,SKU_0044,2026-W06,7401,721,0.0974
ST_000012,SKU_0024,2026-W13,3863,2668,0.6907
ST_000013,SKU_0013,2026-W30,2424,1240,0.5116
ST_000014,SKU_0002,2026-W27,2301,414,0.1799
ST_000015,SKU_0001,2026-W07,6157,3540,0.575
ST_000016,SKU_0015,2026-W21,3151,3120,0.9902
ST_000017,SKU_0011,2026-W41,7997,4465,0.5583
ST_000018,SKU_0018,2026-W52,8224,6776,0.8239
ST_000019,SKU_0028,2026-W52,7852,2096,0.2669
ST_000020,SKU_0007,2026-W14,4600,2883,0.6267
ST_000021,SKU_0013,2026-W36,7196,4145,0.576
ST_000022,SKU_0012,2026-W04,2827,1353,0.4786
ST_000023,SKU_0023,2026-W21,3507,2112,0.6022
ST_000024,SKU_0044,2026-W46,2258,1092,0.4836
ST_000025,SKU_0045,2026-W29,9569,1573,0.1644
ST_000026,SKU_0018,2026-W01,6879,881,0.1281
ST_000027,SKU_0003,2026-W16,7955,1696,0.2132
ST_000028,SKU_0030,2026-W29,9615,1246,0.1296
ST_000029,SKU_0013,2026-W03,3233,1574,0.4869
ST_000030,SKU_0008,2026-W06,8437,5688,0.6742
ST_000031,SKU_0020,2026-W31,3877,1572,0.4055
ST_000032,SKU_0046,2026-W12,3756,2775,0.7388
ST_000033,SKU_0013,2026-W17,3103,1380,0.4447
ST_000034,SKU_0005,2026-W24,2977,874,0.2936
ST_000035,SKU_0036,2026-W30,9071,7147,0.7879
ST_000036,SKU_0044,2026-W10,5395,3502,0.6491
ST_000037,SKU_0040,2026-W26,7708,1656,0.2148
ST_000038,SKU_0034,2026-W14,9831,942,0.0958
ST_000039,SKU_0029,2026-W32,5487,4800,0.8748
ST_000040,SKU_0018,2026-W05,9316,5549,0.5956
ST_000041,SKU_0002,2026-W21,5211,3578,0.6866
ST_000042,SKU_0001,2026-W05,8407,911,0.1084
ST_000043,SKU_0020,2026-W37,8902,257,0.0289
ST_000044,SKU_0021,2026-W24,7800,1447,0.1855
ST_000045,SKU_0022,2026-W44,6219,4689,0.754
ST_000046,SKU_0006,2026-W26,4713,2688,0.5703
ST_000047,SKU_0044,2026-W51,2562,486,0.1897
ST_000048,SKU_0048,2026-W50,8831,1463,0.1657
ST_000049,SKU_0025,2026-W31,7858,1174,0.1494
ST_000050,SKU_0029,2026-W42,7212,1278,0.1772
ST_000051,SKU_0008,2026-W10,2236,384,0.1717
ST_000052,SKU_0049,2026-W25,4938,476,0.0964
ST_000053,SKU_0004,2026-W19,3267,1739,0.5323
ST_000054,SKU_0049,2026-W02,9189,1673,0.1821
ST_000055,SKU_0040,2026-W20,9056,5693,0.6286
ST_000056,SKU_0027,2026-W03,5026,2283,0.4542
ST_000057,SKU_0019,2026-W06,7901,1439,0.1821
ST_000058,SKU_0011,2026-W06,5798,3853,0.6645
ST_000059,SKU_0007,2026-W12,7493,7472,0.9972
ST_000060,SKU_0027,2026-W17,2746,1318,0.48
ST_000061,SKU_0038,2026-W29,2529,412,0.1629
ST_000062,SKU_0013,2026-W32,4552,3131,0.6878
ST_000063,SKU_0025,2026-W37,3117,2335,0.7491
ST_000064,SKU_0008,2026-W30,6391,4064,0.6359
ST_000065,SKU_0041,2026-W06,5328,2577,0.4837
ST_000066,SKU_0008,2026-W51,7989,3737,0.4678
ST_000067,SKU_0006,2026-W20,6153,4385,0.7127
ST_000068,SKU_0048,2026-W11,2175,1851,0.851
ST_000069,SKU_0027,2026-W23,9772,614,0.0628
ST_000070,SKU_0035,2026-W40,7798,5790,0.7425
ST_000071,SKU_0010,2026-W20,4066,4002,0.9843
ST_000072,SKU_0004,2026-W04,7112,5880,0.8268
ST_000073,SKU_0020,2026-W22,4624,1479,0.3199
ST_000074,SKU_0011,2026-W46,5118,426,0.0832
ST_000075,SKU_0013,2026-W42,4747,1095,0.2307
ST_000076,SKU_0041,2026-W46,9942,8423,0.8472
ST_000077,SKU_0005,2026-W14,9853,6245,0.6338
ST_000078,SKU_0034,2026-W45,8809,5004,0.5681
ST_000079,SKU_0040,2026-W36,8010,6257,0.7811
ST_000080,SKU_0011,2026-W10,5149,2465,0.4787
ST_000081,SKU_0032,2026-W18,2768,1027,0.371
ST_000082,SKU_0035,2026-W27,5983,1390,0.2323
ST_000083,SKU_0049,2026-W52,8677,1958,0.2257
ST_000084,SKU_0040,2026-W03,2864,722,0.2521
ST_000085,SKU_0010,2026-W30,3371,1055,0.313
ST_000086,SKU_0018,2026-W28,2636,1440,0.5463
ST_000087,SKU_0028,2026-W28,4147,2487,0.5997
ST_000088,SKU_0041,2026-W10,6368,3526,0.5537
ST_000089,SKU_0026,2026-W26,9746,3951,0.4054
ST_000090,SKU_0040,2026-W17,5402,3667,0.6788
ST_000091,SKU_0049,2026-W01,6130,471,0.0768
ST_000092,SKU_0032,2026-W11,3435,2691,0.7834
ST_000093,SKU_0047,2026-W21,4601,3211,0.6979
ST_000094,SKU_0019,2026-W30,4194,3971,0.9468
ST_000095,SKU_0006,2026-W36,6461,3013,0.4663
ST_000096,SKU_0014,2026-W50,8187,8084,0.9874
ST_000097,SKU_0012,2026-W06,6617,5965,0.9015
ST_000098,SKU_0024,2026-W26,9228,7527,0.8157
ST_000099,SKU_0011,2026-W51,4697,1709,0.3638
ST_000100,SKU_0010,2026-W36,9017,6949,0.7707
ST_000101,SKU_0006,2026-W03,4839,4206,0.8692
ST_000102,SKU_0034,2026-W38,2311,432,0.1869
ST_000103,SKU_0040,2026-W23,4837,3562,0.7364
ST_000104,SKU_0006,2026-W17,3142,2345,0.7463
ST_000105,SKU_0041,2026-W51,7731,2573,0.3328
ST_000106,SKU_0044,2026-W40,4324,1779,0.4114
ST_000107,SKU_0026,2026-W20,9203,2592,0.2816
ST_000108,SKU_0014,2026-W11,7093,5455,0.7691
ST_000109,SKU_0006,2026-W23,2266,560,0.2471
ST_000110,SKU_0024,2026-W20,7785,963,0.1237
ST_000111,SKU_0044,2026-W27,5490,555,0.1011
ST_000112,SKU_0033,2026-W39,7841,7036,0.8973
ST_000113,SKU_0012,2026-W10,6877,3566,0.5185
ST_000114,SKU_0040,2026-W32,3458,2718,0.786
ST_000115,SKU_0020,2026-W49,7616,2216,0.291
ST_000116,SKU_0033,2026-W47,6631,6130,0.9244
ST_000117,SKU_0008,2026-W40,4674,3752,0.8027
ST_000118,SKU_0021,2026-W50,2749,997,0.3627
ST_000119,SKU_0005,2026-W45,5130,962,0.1875
ST_000120,SKU_0048,2026-W44,4656,1037,0.2227
ST_000121,SKU_0016,2026-W24,2069,2048,0.9899
ST_000122,SKU_0012,2026-W30,8295,259,0.0312
ST_000123,SKU_0036,2026-W21,3667,2230,0.6081
ST_000124,SKU_0006,2026-W32,4112,2770,0.6736
ST_000125,SKU_0003,2026-W31,7200,7169,0.9957
ST_000126,SKU_0034,2026-W16,6684,5819,0.8706
ST_000127,SKU_0012,2026-W51,3215,708,0.2202
ST_000128,SKU_0043,2026-W41,8539,2660,0.3115
ST_000129,SKU_0008,2026-W27,2073,1468,0.7082
ST_000130,SKU_0010,2026-W32,5435,5237,0.9636
ST_000131,SKU_0021,2026-W45,9579,8598,0.8976
ST_000132,SKU_0026,2026-W36,8378,3364,0.4015
ST_000133,SKU_0040,2026-W42,2298,401,0.1745
ST_000134,SKU_0022,2026-W31,7682,6068,0.7899
ST_000135,SKU_0024,2026-W36,6064,4023,0.6634
ST_000136,SKU_0026,2026-W03,8914,5572,0.6251
ST_000137,SKU_0021,2026-W11,5663,963,0.1701
ST_000138,SKU_0004,2026-W06,4964,3166,0.6378
ST_000139,SKU_0031,2026-W02,8440,5615,0.6653
ST_000140,SKU_0031,2026-W25,5159,1332,0.2582
ST_000141,SKU_0005,2026-W38,7654,1743,0.2277
ST_000142,SKU_0003,2026-W37,6712,5801,0.8643
ST_000143,SKU_0024,2026-W03,4326,4269,0.9868
ST_000144,SKU_0026,2026-W17,5408,2728,0.5044
ST_000145,SKU_0006,2026-W42,9322,6893,0.7394
ST_000146,SKU_0032,2026-W44,8942,1231,0.1377
ST_000147,SKU_0042,2026-W15,8034,2510,0.3124
ST_000148,SKU_0029,2026-W43,8838,5724,0.6477
ST_000149,SKU_0024,2026-W17,5740,4379,0.7629
ST_000150,SKU_0011,2026-W40,8515,6328,0.7432
ST_000151,SKU_0010,2026-W42,7074,6996,0.989
ST_000152,SKU_0020,2026-W07,7727,7326,0.9481
ST_000153,SKU_0023,2026-W33,7436,6192,0.8327
