capacity_id,plant_id,period,total_available_hours,max_units_capacity,allocated_units_capacity
CAP_00001,PLANT_01,2026-M01,1205,29626,23684
CAP_00002,PLANT_01,2026-M02,1684,25813,18265
CAP_00003,PLANT_01,2026-M03,1318,33121,30145
CAP_00004,PLANT_01,2026-M04,1418,29842,22714
CAP_00005,PLANT_01,2026-M05,1356,34858,10273
CAP_00006,PLANT_01,2026-M06,1481,34795,22798
CAP_00007,PLANT_01,2026-M07,1329,16102,14221
CAP_00008,PLANT_01,2026-M08,1486,18101,14174
CAP_00009,PLANT_01,2026-M09,1868,33768,22108
CAP_00010,PLANT_01,2026-M10,1238,32516,31478
CAP_00011,PLANT_01,2026-M11,1999,28221,18842
CAP_00012,PLANT_01,2026-M12,1798,25952,19781
CAP_00013,PLANT_01,2027-M01,1295,29018,17594
CAP_00014,PLANT_01,2027-M02,1701,32489,27189
CAP_00015,PLANT_01,2027-M03,1841,35932,13755
CAP_00016,PLANT_01,2027-M04,1810,32395,25496
CAP_00017,PLANT_01,2027-M05,1862,32337,26759
CAP_00018,PLANT_01,2027-M06,1555,20837,13125
CAP_00019,PLANT_01,2027-M07,1937,18700,17158
CAP_00020,PLANT_01,2027-M08,1579,15644,14663
CAP_00021,PLANT_01,2027-M09,1262,31580,22726
CAP_00022,PLANT_01,2027-M10,1890,25907,24259
CAP_00023,PLANT_01,2027-M11,1562,15545,12734
CAP_00024,PLANT_01,2027-M12,1506,31528,13108
CAP_00025,PLANT_02,2026-M01,1792,36703,24966
CAP_00026,PLANT_02,2026-M02,1306,36232,32298
CAP_00027,PLANT_02,2026-M03,1578,20095,13013
CAP_00028,PLANT_02,2026-M04,1688,18760,15481
CAP_00029,PLANT_02,2026-M05,1724,26162,13562
CAP_00030,PLANT_02,2026-M06,1318,16358,14791
CAP_00031,PLANT_02,2026-M07,1782,26797,18833
CAP_00032,PLANT_02,2026-M08,1335,17028,16331
CAP_00033,PLANT_02,2026-M09,1297,32284,29333
CAP_00034,PLANT_02,2026-M10,1463,39507,11992
CAP_00035,PLANT_02,2026-M11,1985,18267,11789
CAP_00036,PLANT_02,2026-M12,1676,16519,14907
CAP_00037,PLANT_02,2027-M01,1882,34959,31891
CAP_00038,PLANT_02,2027-M02,1402,20582,19626
CAP_00039,PLANT_02,2027-M03,1362,37236,22888
CAP_00040,PLANT_02,2027-M04,1506,25476,19171
CAP_00041,PLANT_02,2027-M05,1499,16051,15860
CAP_00042,PLANT_02,2027-M06,1407,15575,14753
CAP_00043,PLANT_02,2027-M07,1410,23142,17206
CAP_00044,PLANT_02,2027-M08,1234,20718,16276
CAP_00045,PLANT_02,2027-M09,1720,33209,10337
CAP_00046,PLANT_02,2027-M10,1652,20784,18775
CAP_00047,PLANT_02,2027-M11,1748,20927,13308
CAP_00048,PLANT_02,2027-M12,1612,33232,22083
CAP_00049,PLANT_03,2026-M01,1537,37317,32582
CAP_00050,PLANT_03,2026-M02,1576,28230,23744
CAP_00051,PLANT_03,2026-M03,1743,24717,21068
CAP_00052,PLANT_03,2026-M04,1260,28899,14527
CAP_00053,PLANT_03,2026-M05,1422,19237,16221
CAP_00054,PLANT_03,2026-M06,1730,27447,21015
CAP_00055,PLANT_03,2026-M07,1212,16285,10098
CAP_00056,PLANT_03,2026-M08,1763,36033,18280
CAP_00057,PLANT_03,2026-M09,1293,36666,29617
CAP_00058,PLANT_03,2026-M10,1564,28327,28281
CAP_00059,PLANT_03,2026-M11,1917,33072,31968
CAP_00060,PLANT_03,2026-M12,1625,25132,11024
CAP_00061,PLANT_03,2027-M01,1867,26374,25982
CAP_00062,PLANT_03,2027-M02,1643,18794,11349
CAP_00063,PLANT_03,2027-M03,1836,36692,16427
CAP_00064,PLANT_03,2027-M04,1406,39536,30336
CAP_00065,PLANT_03,2027-M05,1451,18329,17600
CAP_00066,PLANT_03,2027-M06,1249,39387,17419
CAP_00067,PLANT_03,2027-M07,1878,36577,33312
CAP_00068,PLANT_03,2027-M08,1721,31604,23175
CAP_00069,PLANT_03,2027-M09,1838,35238,17913
CAP_00070,PLANT_03,2027-M10,1652,30822,26158
CAP_00071,PLANT_03,2027-M11,1507,37693,11675
CAP_00072,PLANT_03,2027-M12,1931,21123,15732
CAP_00073,PLANT_04,2026-M01,1781,36426,13988
CAP_00074,PLANT_04,2026-M02,1378,34268,21213
CAP_00075,PLANT_04,2026-M03,1443,34140,11734
CAP_00076,PLANT_04,2026-M04,1821,15889,13417
CAP_00077,PLANT_04,2026-M05,1827,26955,23797
CAP_00078,PLANT_04,2026-M06,1577,24726,21432
CAP_00079,PLANT_04,2026-M07,1512,34662,26167
CAP_00080,PLANT_04,2026-M08,1519,36018,13712
CAP_00081,PLANT_04,2026-M09,1742,25605,11734
CAP_00082,PLANT_04,2026-M10,1604,31104,17155
CAP_00083,PLANT_04,2026-M11,1582,26928,13514
CAP_00084,PLANT_04,2026-M12,1490,31810,21377
CAP_00085,PLANT_04,2027-M01,1544,22814,14780
CAP_00086,PLANT_04,2027-M02,1213,34132,15822
CAP_00087,PLANT_04,2027-M03,1451,20044,11737
CAP_00088,PLANT_04,2027-M04,1770,24601,24367
CAP_00089,PLANT_04,2027-M05,1377,19983,10902
CAP_00090,PLANT_04,2027-M06,1423,24184,16897
CAP_00091,PLANT_04,2027-M07,1443,21473,18201
CAP_00092,PLANT_04,2027-M08,1259,20923,18414
CAP_00093,PLANT_04,2027-M09,1844,21009,19050
CAP_00094,PLANT_04,2027-M10,1531,30312,16959
CAP_00095,PLANT_04,2027-M11,1815,22604,20750
CAP_00096,PLANT_04,2027-M12,1308,23388,12014
CAP_00097,PLANT_05,2026-M01,1980,29495,17711
CAP_00098,PLANT_05,2026-M02,1672,29427,12414
CAP_00099,PLANT_05,2026-M03,1569,32831,20001
CAP_00100,PLANT_05,2026-M04,1551,32076,26063
CAP_00101,PLANT_05,2026-M05,1865,33035,22562
CAP_00102,PLANT_05,2026-M06,1535,20798,19111
CAP_00103,PLANT_05,2026-M07,1399,30546,18884
CAP_00104,PLANT_05,2026-M08,1313,21910,11561
CAP_00105,PLANT_05,2026-M09,1659,28593,19165
CAP_00106,PLANT_05,2026-M10,1608,32547,29416
CAP_00107,PLANT_05,2026-M11,1542,17214,10464
CAP_00108,PLANT_05,2026-M12,1221,21154,16981
CAP_00109,PLANT_05,2027-M01,1490,39220,26021
CAP_00110,PLANT_05,2027-M02,1443,38174,16227
CAP_00111,PLANT_05,2027-M03,1798,33926,27768
CAP_00112,PLANT_05,2027-M04,1746,39181,28526
CAP_00113,PLANT_05,2027-M05,1832,39281,11228
CAP_00114,PLANT_05,2027-M06,1553,15176,13826
CAP_00115,PLANT_05,2027-M07,1993,16589,12451
CAP_00116,PLANT_05,2027-M08,1428,22785,21924
CAP_00117,PLANT_05,2027-M09,1961,18173,12998
CAP_00118,PLANT_05,2027-M10,1838,33602,28799
CAP_00119,PLANT_05,2027-M11,1712,33045,31332
CAP_00120,PLANT_05,2027-M12,1472,30571,10198
