forecast_id,sku_id,region,period,forecasted_demand_units,confidence_interval_pct
FCT_000001,SKU_0026,Asia_Pacific,2026-M10,2142,0.81
FCT_000002,SKU_0022,North_America,2027-M05,13420,0.84
FCT_000003,SKU_0029,Europe,2027-M12,4084,0.87
FCT_000004,SKU_0012,Latin_America,2026-M08,5297,0.94
FCT_000005,SKU_0038,Asia_Pacific,2027-M05,8530,0.81
FCT_000006,SKU_0027,Europe,2027-M02,11617,0.84
FCT_000007,SKU_0032,Europe,2027-M08,6425,0.89
FCT_000008,SKU_0050,Latin_America,2026-M02,6205,0.81
FCT_000009,SKU_0028,North_America,2027-M02,4314,0.94
FCT_000010,SKU_0044,North_America,2027-M01,6540,0.82
FCT_000011,SKU_0030,Latin_America,2026-M01,2280,0.83
FCT_000012,SKU_0009,North_America,2026-M02,3644,0.83
FCT_000013,SKU_0006,North_America,2026-M04,3292,0.81
FCT_000014,SKU_0019,Europe,2026-M01,10332,0.82
FCT_000015,SKU_0040,Asia_Pacific,2027-M11,3415,0.87
FCT_000016,SKU_0016,Europe,2026-M11,2934,0.92
FCT_000017,SKU_0035,Latin_America,2027-M02,3271,0.88
FCT_000018,SKU_0031,North_America,2027-M07,11710,0.88
FCT_000019,SKU_0016,Latin_America,2027-M07,11259,0.93
FCT_000020,SKU_0019,North_America,2027-M12,5577,0.83
FCT_000021,SKU_0043,North_America,2027-M02,7079,0.88
FCT_000022,SKU_0033,Asia_Pacific,2027-M03,14530,0.8
FCT_000023,SKU_0036,Latin_America,2026-M11,6531,0.83
FCT_000024,SKU_0038,North_America,2026-M08,12181,0.94
FCT_000025,SKU_0012,Latin_America,2027-M04,3198,0.86
FCT_000026,SKU_0037,Asia_Pacific,2027-M04,11322,0.82
FCT_000027,SKU_0017,Europe,2026-M03,3377,0.8
FCT_000028,SKU_0024,Latin_America,2027-M12,11541,0.9
FCT_000029,SKU_0018,Europe,2027-M01,2192,0.93
FCT_000030,SKU_0029,Latin_America,2027-M03,7862,0.9
FCT_000031,SKU_0012,Latin_America,2026-M05,3956,0.95
FCT_000032,SKU_0037,Asia_Pacific,2026-M05,6588,0.83
FCT_000033,SKU_0010,Latin_America,2026-M03,4801,0.84
FCT_000034,SKU_0008,Asia_Pacific,2027-M11,11099,0.88
FCT_000035,SKU_0009,Asia_Pacific,2026-M02,1970,0.92
