po_id,supplier_id,fabric_id,order_quantity_meters,unit_price,total_po_value,order_date,promised_delivery_date,actual_delivery_date,contracted_lead_time_days,actual_lead_time_days,delayed_days,is_on_time,quality_pass_rate_pct,risk_category
PO_000001,SUP_025,FAB_020,1822,9.52,17345.44,2024-07-31,2024-09-05,2024-09-05,36,36,0,1,88.51,Low
PO_000002,SUP_019,FAB_015,8511,14.82,126133.02,2025-03-08,2025-04-05,2025-04-05,28,28,0,1,92.49,Low
PO_000003,SUP_010,FAB_005,9782,6.79,66419.78,2024-02-22,2024-03-12,2024-03-12,19,19,0,1,93.91,Low
PO_000004,SUP_003,FAB_023,15813,7.68,121443.84,2025-01-30,2025-02-13,2025-02-15,14,16,2,0,96.71,Medium
PO_000005,SUP_003,FAB_022,12651,5.47,69200.97,2024-03-08,2024-04-08,2024-04-09,31,32,1,0,88.94,Medium
PO_000006,SUP_006,FAB_001,10034,9.25,92814.5,2025-02-05,2025-03-12,2025-03-13,35,36,1,0,91.31,Medium
PO_000007,SUP_018,FAB_015,12433,13.28,165110.24,2025-07-31,2025-08-15,2025-08-15,15,15,0,1,95.21,Low
PO_000008,SUP_022,FAB_030,517,18.31,9466.27,2025-05-04,2025-05-30,2025-05-30,26,26,0,1,94.37,Low
PO_000009,SUP_025,FAB_005,9488,6.69,63474.72,2025-10-15,2025-11-05,2025-11-05,21,21,0,1,94.68,Low
PO_000010,SUP_023,FAB_020,7693,8.76,67390.68,2024-07-11,2024-08-14,2024-08-19,34,39,5,0,87.03,Medium
PO_000011,SUP_008,FAB_015,15666,13.41,210081.06,2025-05-30,2025-06-27,2025-06-27,28,28,0,1,96.66,Low
PO_000012,SUP_011,FAB_019,11786,15.83,186572.38,2024-01-29,2024-02-14,2024-02-14,16,16,0,1,92.45,Low
PO_000013,SUP_015,FAB_002,16886,15.2,256667.2,2024-02-26,2024-04-05,2024-04-05,39,39,0,1,92.83,Low
PO_000014,SUP_002,FAB_003,14838,16.83,249723.54,2025-04-05,2025-04-27,2025-04-27,22,22,0,1,94.33,Low
PO_000015,SUP_023,FAB_007,2382,8.16,19437.12,2024-05-28,2024-06-19,2024-06-19,22,22,0,1,85.42,Low
PO_000016,SUP_009,FAB_020,12042,8.32,100189.44,2025-04-20,2025-05-05,2025-05-05,15,15,0,1,92.21,Low
PO_000017,SUP_022,FAB_030,13042,18.31,238799.02,2025-08-19,2025-09-14,2025-09-14,26,26,0,1,95.99,Low
PO_000018,SUP_014,FAB_019,11093,16.12,178819.16,2024-10-25,2024-11-29,2024-11-29,35,35,0,1,94.85,Low
PO_000019,SUP_008,FAB_025,4543,16.9,76776.7,2024-10-15,2024-11-15,2024-11-15,31,31,0,1,95.32,Low
PO_000020,SUP_015,FAB_018,10502,12.21,128229.42,2024-07-18,2024-08-17,2024-08-17,30,30,0,1,92.12,Low
PO_000021,SUP_022,FAB_005,6151,7.26,44656.26,2025-07-18,2025-08-10,2025-08-13,23,26,3,0,100.0,Medium
PO_000022,SUP_024,FAB_029,4219,9.81,41388.39,2024-02-01,2024-02-27,2024-03-02,26,30,4,0,96.18,Medium
PO_000023,SUP_001,FAB_001,3279,9.92,32527.68,2024-04-22,2024-05-07,2024-05-07,15,15,0,1,94.85,Low
PO_000024,SUP_009,FAB_019,18706,17.77,332405.62,2024-11-05,2024-11-27,2024-11-27,22,22,0,1,93.77,Low
PO_000025,SUP_022,FAB_005,6623,7.26,48082.98,2025-01-12,2025-02-04,2025-02-04,23,23,0,1,100.0,Low
PO_000026,SUP_002,FAB_030,19747,15.39,303906.33,2024-01-28,2024-03-05,2024-03-06,37,38,1,0,98.17,Medium
PO_000027,SUP_013,FAB_010,11784,5.1,60098.4,2025-11-17,2025-12-14,2025-12-20,27,33,6,0,90.94,Medium
PO_000028,SUP_008,FAB_001,18961,9.4,178233.4,2024-06-12,2024-07-01,2024-07-01,19,19,0,1,91.07,Low
PO_000029,SUP_017,FAB_005,10343,6.39,66091.77,2025-09-30,2025-10-30,2025-11-06,30,37,7,0,98.89,Medium
PO_000030,SUP_002,FAB_025,16601,18.91,313924.91,2024-10-20,2024-11-15,2024-11-19,26,30,4,0,91.41,Medium
PO_000031,SUP_018,FAB_008,17393,14.6,253937.8,2025-09-23,2025-10-09,2025-10-09,16,16,0,1,97.79,Low
PO_000032,SUP_013,FAB_023,9979,6.49,64763.71,2025-03-26,2025-04-15,2025-04-21,20,26,6,0,96.71,Medium
PO_000033,SUP_010,FAB_024,4208,4.93,20745.44,2024-09-03,2024-10-02,2024-10-02,29,29,0,1,96.73,Low
PO_000034,SUP_012,FAB_008,9747,13.43,130902.21,2025-03-04,2025-04-08,2025-04-08,35,35,0,1,93.95,Low
PO_000035,SUP_025,FAB_008,15515,13.68,212245.2,2024-08-06,2024-09-09,2024-09-09,34,34,0,1,97.08,Low
PO_000036,SUP_023,FAB_023,16142,7.03,113478.26,2024-10-25,2024-11-26,2024-11-26,32,32,0,1,84.15,High
PO_000037,SUP_019,FAB_011,1512,5.61,8482.32,2025-07-23,2025-08-07,2025-08-09,15,17,2,0,89.9,Medium
PO_000038,SUP_025,FAB_025,13837,17.52,242424.24,2024-09-05,2024-09-30,2024-10-01,25,26,1,0,89.98,Medium
PO_000039,SUP_002,FAB_005,3532,6.1,21545.2,2025-08-29,2025-09-27,2025-09-29,29,31,2,0,99.31,Medium
PO_000040,SUP_008,FAB_011,5789,5.27,30508.03,2024-04-17,2024-05-08,2024-05-08,21,21,0,1,97.82,Low
PO_000041,SUP_019,FAB_014,11093,19.06,211432.58,2024-10-30,2024-11-15,2024-11-21,16,22,6,0,98.36,Medium
PO_000042,SUP_005,FAB_007,1480,7.27,10759.6,2024-11-02,2024-11-23,2024-11-23,21,21,0,1,98.3,Low
PO_000043,SUP_005,FAB_016,916,5.84,5349.44,2024-05-23,2024-06-20,2024-06-20,28,28,0,1,94.47,Low
PO_000044,SUP_020,FAB_004,11241,8.06,90602.46,2024-03-01,2024-03-24,2024-03-26,23,25,2,0,91.63,Medium
PO_000045,SUP_010,FAB_015,7505,12.31,92386.55,2025-11-20,2025-12-25,2025-12-25,35,35,0,1,90.35,Low
PO_000046,SUP_009,FAB_008,2133,14.7,31355.1,2025-10-06,2025-10-29,2025-10-29,23,23,0,1,94.02,Low
PO_000047,SUP_009,FAB_020,9178,8.32,76360.96,2024-09-15,2024-09-30,2024-10-02,15,17,2,0,94.63,Medium
PO_000048,SUP_020,FAB_018,3765,10.58,39833.7,2024-09-11,2024-10-05,2024-10-14,24,33,9,0,88.36,High
PO_000049,SUP_013,FAB_022,3614,5.44,19660.16,2024-12-16,2025-01-25,2025-02-11,40,57,17,0,91.03,High
PO_000050,SUP_018,FAB_011,18202,5.86,106663.72,2025-09-17,2025-10-15,2025-10-15,28,28,0,1,90.16,Low
