perf_id,supplier_id,evaluation_period,otd_rating_pct,quality_pass_rate_pct,defect_ppm,overall_risk_score
PERF_00001,SUP_022,2027-M01,95.49,95.65,529,4.43
PERF_00002,SUP_005,2026-M11,99.17,95.81,313,2.51
PERF_00003,SUP_011,2027-M09,98.74,97.92,306,1.67
PERF_00004,SUP_017,2026-M03,89.03,90.44,746,10.26
PERF_00005,SUP_023,2026-M08,90.23,88.22,355,10.78
PERF_00006,SUP_024,2027-M02,88.11,90.67,742,10.61
PERF_00007,SUP_013,2027-M02,85.28,88.47,1093,13.12
PERF_00008,SUP_003,2027-M06,88.82,93.17,415,9.0
PERF_00009,SUP_018,2026-M02,92.07,96.08,189,5.93
PERF_00010,SUP_002,2027-M08,94.53,94.1,381,5.69
PERF_00011,SUP_021,2027-M10,91.29,99.9,457,4.41
PERF_00012,SUP_015,2026-M05,87.53,95.86,375,8.31
PERF_00013,SUP_009,2026-M12,93.73,90.5,194,7.88
PERF_00014,SUP_020,2026-M12,88.29,93.65,854,9.03
PERF_00015,SUP_011,2026-M05,93.65,95.25,104,5.55
PERF_00016,SUP_004,2026-M05,87.94,92.25,871,9.91
PERF_00017,SUP_005,2026-M04,95.63,91.99,424,6.19
PERF_00018,SUP_011,2026-M12,92.84,94.31,522,6.42
PERF_00019,SUP_013,2027-M10,91.09,94.33,632,7.29
PERF_00020,SUP_007,2026-M04,88.27,93.63,915,9.05
PERF_00021,SUP_022,2026-M09,92.56,95.54,178,5.95
PERF_00022,SUP_022,2026-M09,90.41,98.03,671,5.78
PERF_00023,SUP_022,2026-M01,93.78,98.51,472,3.85
PERF_00024,SUP_009,2026-M11,91.16,96.3,767,6.27
PERF_00025,SUP_022,2027-M02,93.89,99.9,50,3.1
PERF_00026,SUP_017,2026-M09,89.87,91.82,780,9.16
PERF_00027,SUP_016,2027-M03,90.68,88.63,596,10.34
PERF_00028,SUP_011,2027-M02,95.07,99.69,296,2.62
PERF_00029,SUP_006,2027-M01,87.67,92.15,843,10.09
PERF_00030,SUP_020,2026-M04,88.69,90.48,922,10.41
PERF_00031,SUP_010,2026-M06,89.49,95.22,579,7.65
PERF_00032,SUP_024,2026-M06,88.82,92.22,387,9.48
PERF_00033,SUP_021,2027-M07,93.99,96.05,461,4.98
PERF_00034,SUP_005,2027-M03,93.9,92.86,275,6.62
PERF_00035,SUP_004,2026-M01,89.07,91.39,627,9.77
PERF_00036,SUP_013,2027-M07,89.21,96.72,834,7.03
PERF_00037,SUP_016,2027-M01,91.17,93.41,256,7.71
PERF_00038,SUP_015,2026-M11,90.62,93.95,1112,7.72
PERF_00039,SUP_024,2026-M11,89.22,93.95,673,8.41
PERF_00040,SUP_021,2027-M05,89.59,98.26,610,6.07
PERF_00041,SUP_008,2026-M04,93.97,92.13,840,6.95
PERF_00042,SUP_003,2026-M02,85.29,94.47,1138,10.12
PERF_00043,SUP_018,2026-M04,90.73,94.38,439,7.44
PERF_00044,SUP_006,2026-M07,88.59,89.52,673,10.94
PERF_00045,SUP_009,2027-M06,89.91,96.58,276,6.75
PERF_00046,SUP_020,2026-M08,92.35,89.84,755,8.91
PERF_00047,SUP_006,2026-M07,92.54,90.32,705,8.57
PERF_00048,SUP_013,2026-M10,91.92,87.98,836,10.05
PERF_00049,SUP_021,2026-M11,93.88,97.35,212,4.39
PERF_00050,SUP_003,2027-M10,85.54,94.3,759,10.08
PERF_00051,SUP_004,2027-M06,90.85,94.27,523,7.44
PERF_00052,SUP_014,2026-M11,89.0,92.93,637,9.03
PERF_00053,SUP_020,2027-M05,93.3,92.98,581,6.86
PERF_00054,SUP_021,2026-M03,95.07,92.96,617,5.99
PERF_00055,SUP_015,2027-M12,94.18,91.75,812,7.03
PERF_00056,SUP_025,2027-M02,95.24,98.06,779,3.35
PERF_00057,SUP_001,2027-M06,94.46,94.92,142,5.31
PERF_00058,SUP_024,2027-M10,87.35,93.01,748,9.82
PERF_00059,SUP_002,2027-M04,94.23,97.67,442,4.05
PERF_00060,SUP_020,2026-M10,92.06,91.14,1364,8.4
