forecast_id,sku_id,region,period,forecasted_demand_units,confidence_interval_pct
FCT_000001,SKU_0021,Latin_America,2027-M08,2766,0.83
FCT_000002,SKU_0004,Asia_Pacific,2027-M01,1914,0.83
FCT_000003,SKU_0032,Europe,2027-M09,14899,0.83
FCT_000004,SKU_0036,Latin_America,2026-M03,6068,0.89
FCT_000005,SKU_0014,Latin_America,2026-M11,8489,0.87
FCT_000006,SKU_0017,North_America,2026-M02,8792,0.93
FCT_000007,SKU_0015,North_America,2027-M02,2876,0.86
FCT_000008,SKU_0005,Latin_America,2026-M12,12929,0.81
FCT_000009,SKU_0002,North_America,2027-M09,11634,0.83
FCT_000010,SKU_0027,North_America,2027-M11,4893,0.91
FCT_000011,SKU_0004,Latin_America,2027-M11,14400,0.83
FCT_000012,SKU_0018,North_America,2026-M09,13037,0.9
FCT_000013,SKU_0001,Europe,2027-M10,14747,0.81
FCT_000014,SKU_0019,Europe,2027-M12,10769,0.82
FCT_000015,SKU_0047,Latin_America,2027-M09,7191,0.92
FCT_000016,SKU_0045,Asia_Pacific,2027-M02,10984,0.82
FCT_000017,SKU_0043,Europe,2026-M05,1040,0.93
FCT_000018,SKU_0022,North_America,2027-M02,4675,0.8
FCT_000019,SKU_0022,Latin_America,2026-M10,2393,0.82
FCT_000020,SKU_0002,Asia_Pacific,2027-M05,7846,0.81
FCT_000021,SKU_0024,Latin_America,2026-M10,1911,0.93
FCT_000022,SKU_0029,Latin_America,2026-M01,3063,0.93
FCT_000023,SKU_0027,Latin_America,2026-M05,9370,0.83
FCT_000024,SKU_0008,Europe,2027-M12,8590,0.87
FCT_000025,SKU_0036,North_America,2026-M02,5583,0.83
FCT_000026,SKU_0036,Europe,2027-M12,13769,0.81
FCT_000027,SKU_0001,Latin_America,2027-M04,5687,0.89
FCT_000028,SKU_0011,North_America,2027-M06,6310,0.87
FCT_000029,SKU_0029,North_America,2026-M06,9871,0.88
FCT_000030,SKU_0006,North_America,2026-M04,8289,0.92
FCT_000031,SKU_0038,Europe,2027-M05,9970,0.94
FCT_000032,SKU_0045,North_America,2027-M10,2018,0.86
FCT_000033,SKU_0022,Europe,2027-M04,3469,0.82
FCT_000034,SKU_0005,Asia_Pacific,2027-M06,11817,0.88
FCT_000035,SKU_0010,Latin_America,2027-M01,12365,0.91
FCT_000036,SKU_0024,Asia_Pacific,2026-M04,1422,0.94
FCT_000037,SKU_0025,Latin_America,2026-M05,3742,0.86
FCT_000038,SKU_0018,Europe,2026-M08,10452,0.88
FCT_000039,SKU_0011,Asia_Pacific,2027-M10,5769,0.84
FCT_000040,SKU_0019,Europe,2027-M01,12529,0.86
FCT_000041,SKU_0021,North_America,2027-M07,9245,0.89
FCT_000042,SKU_0023,Asia_Pacific,2027-M07,3250,0.91
FCT_000043,SKU_0005,Europe,2026-M06,5435,0.87
FCT_000044,SKU_0038,Latin_America,2027-M04,1215,0.93
FCT_000045,SKU_0046,Asia_Pacific,2026-M09,7831,0.92
FCT_000046,SKU_0021,Asia_Pacific,2027-M03,14466,0.8
FCT_000047,SKU_0031,North_America,2026-M08,7989,0.93
FCT_000048,SKU_0015,Europe,2027-M01,5346,0.87
FCT_000049,SKU_0043,North_America,2027-M02,12383,0.89
FCT_000050,SKU_0007,North_America,2027-M12,14378,0.95
FCT_000051,SKU_0033,Asia_Pacific,2026-M04,3898,0.85
FCT_000052,SKU_0012,Asia_Pacific,2027-M02,4563,0.87
FCT_000053,SKU_0020,Latin_America,2026-M04,8631,0.9
FCT_000054,SKU_0002,Latin_America,2026-M03,8688,0.87
FCT_000055,SKU_0006,North_America,2027-M11,9787,0.84
FCT_000056,SKU_0014,North_America,2027-M04,8233,0.8
FCT_000057,SKU_0042,Europe,2026-M07,12417,0.9
FCT_000058,SKU_0024,Asia_Pacific,2027-M11,5466,0.86
FCT_000059,SKU_0015,Latin_America,2027-M09,8840,0.87
FCT_000060,SKU_0014,Europe,2026-M12,13704,0.93
FCT_000061,SKU_0027,North_America,2026-M02,8110,0.81
FCT_000062,SKU_0004,Latin_America,2026-M02,11073,0.88
FCT_000063,SKU_0044,North_America,2026-M07,10939,0.87
FCT_000064,SKU_0042,Asia_Pacific,2027-M07,3509,0.88
FCT_000065,SKU_0048,Asia_Pacific,2027-M09,3540,0.86
FCT_000066,SKU_0028,Europe,2026-M07,2004,0.92
FCT_000067,SKU_0029,Latin_America,2027-M08,3233,0.88
FCT_000068,SKU_0022,Latin_America,2027-M06,3402,0.93
FCT_000069,SKU_0026,Europe,2026-M01,12256,0.91
FCT_000070,SKU_0018,Europe,2026-M01,12590,0.9
FCT_000071,SKU_0016,North_America,2027-M03,7187,0.84
FCT_000072,SKU_0024,Latin_America,2027-M06,8168,0.8
FCT_000073,SKU_0032,Latin_America,2026-M05,6596,0.83
FCT_000074,SKU_0001,Latin_America,2026-M12,9072,0.81
FCT_000075,SKU_0033,Asia_Pacific,2027-M11,9453,0.94
FCT_000076,SKU_0038,Asia_Pacific,2026-M06,1545,0.85
FCT_000077,SKU_0020,Latin_America,2027-M11,12937,0.91
FCT_000078,SKU_0010,North_America,2026-M05,9892,0.88
FCT_000079,SKU_0048,Latin_America,2026-M08,14023,0.83
FCT_000080,SKU_0010,Latin_America,2026-M11,12304,0.93
FCT_000081,SKU_0007,North_America,2027-M01,11506,0.86
FCT_000082,SKU_0019,North_America,2026-M09,6007,0.95
FCT_000083,SKU_0036,Latin_America,2027-M02,10457,0.93
FCT_000084,SKU_0045,Europe,2026-M05,11419,0.81
FCT_000085,SKU_0019,Europe,2026-M11,8638,0.89
FCT_000086,SKU_0006,Latin_America,2026-M03,4127,0.93
FCT_000087,SKU_0013,Latin_America,2026-M07,3854,0.91
FCT_000088,SKU_0046,North_America,2027-M07,5300,0.82
FCT_000089,SKU_0035,Latin_America,2027-M04,12218,0.85
