sku_id,style_name,category,season,target_unit_price,launch_date
SKU_0001,Style-562,Jackets,FW26,53.09,2026-03-28
SKU_0002,Style-121,Activewear,FW26,98.56,2026-01-02
SKU_0003,Style-172,Outerwear,SS26,53.62,2026-01-09
SKU_0004,Style-980,Trousers,SS26,89.27,2026-03-13
SKU_0005,Style-785,Dresses,FW26,92.4,2026-05-27
SKU_0006,Style-690,Dresses,FW26,123.08,2026-04-15
SKU_0007,Style-294,Jackets,SS26,107.37,2026-04-01
SKU_0008,Style-533,Dresses,FW27,132.98,2026-01-14
SKU_0009,Style-789,Outerwear,SS26,32.58,2026-03-28
SKU_0010,Style-919,Jackets,FW26,48.95,2026-05-18
SKU_0011,Style-559,Shirts,FW27,47.94,2026-04-29
SKU_0012,Style-355,Jackets,FW27,126.0,2026-05-21
SKU_0013,Style-200,Jackets,SS26,146.12,2026-03-02
SKU_0014,Style-270,Dresses,FW27,85.17,2026-04-13
SKU_0015,Style-160,Shirts,FW27,25.27,2026-04-10
SKU_0016,Style-371,Dresses,SS27,77.88,2026-05-23
SKU_0017,Style-777,Outerwear,FW27,44.35,2026-03-17
SKU_0018,Style-322,Jackets,SS26,118.5,2026-01-15
SKU_0019,Style-151,Activewear,FW27,87.86,2026-05-16
SKU_0020,Style-261,Jackets,SS26,131.42,2026-01-18
SKU_0021,Style-709,Jackets,FW26,75.47,2026-05-26
SKU_0022,Style-352,Activewear,SS26,102.42,2026-04-18
SKU_0023,Style-773,Activewear,SS27,141.84,2026-02-22
SKU_0024,Style-833,Trousers,FW26,58.2,2026-02-03
SKU_0025,Style-787,Outerwear,SS27,82.15,2026-01-19
SKU_0026,Style-109,Dresses,SS26,34.16,2026-02-24
SKU_0027,Style-618,Trousers,FW26,141.66,2026-01-18
SKU_0028,Style-350,Trousers,SS27,44.72,2026-05-20
SKU_0029,Style-820,Trousers,SS26,108.48,2026-05-22
SKU_0030,Style-406,Outerwear,SS26,142.37,2026-02-04
SKU_0031,Style-370,Jackets,SS26,117.8,2026-02-09
SKU_0032,Style-378,Trousers,FW26,114.7,2026-02-22
SKU_0033,Style-803,Outerwear,SS27,88.18,2026-03-06
SKU_0034,Style-966,Jackets,SS26,104.29,2026-03-12
SKU_0035,Style-145,Jackets,SS27,121.39,2026-06-13
SKU_0036,Style-368,Shirts,FW27,93.96,2026-04-20
SKU_0037,Style-674,Jackets,SS26,34.41,2026-06-26
SKU_0038,Style-252,Activewear,SS26,129.32,2026-05-30
SKU_0039,Style-665,Shirts,FW27,40.93,2026-03-20
SKU_0040,Style-473,Jackets,SS27,51.26,2026-03-05
SKU_0041,Style-782,Jackets,SS27,122.51,2026-04-15
SKU_0042,Style-735,Outerwear,FW26,140.72,2026-03-02
SKU_0043,Style-985,Shirts,FW26,135.18,2026-01-07
SKU_0044,Style-283,Outerwear,SS27,122.8,2026-04-16
SKU_0045,Style-921,Outerwear,FW26,58.35,2026-06-29
SKU_0046,Style-210,Dresses,SS26,132.32,2026-02-26
SKU_0047,Style-304,Dresses,SS27,63.15,2026-02-28
SKU_0048,Style-328,Jackets,FW26,74.81,2026-03-13
SKU_0049,Style-171,Trousers,SS27,105.19,2026-04-13
SKU_0050,Style-795,Activewear,SS27,142.4,2026-01-30
