contract_id,supplier_id,fabric_id,unit_price,monthly_capacity_meters,contracted_lead_time_days,moq_meters,min_allocation_pct,max_allocation_pct
CNT_00001,SUP_001,FAB_010,5.36,20555,25,1000,0.15,0.7
CNT_00002,SUP_001,FAB_006,18.61,10926,40,2500,0.15,0.6
CNT_00003,SUP_001,FAB_025,16.86,12456,27,500,0.15,0.5
CNT_00004,SUP_001,FAB_018,11.04,22030,18,5000,0.15,0.7
CNT_00005,SUP_001,FAB_001,9.92,28662,15,500,0.15,0.6
CNT_00006,SUP_001,FAB_024,4.4,14293,28,2500,0.2,0.6
CNT_00007,SUP_001,FAB_004,7.06,18345,23,5000,0.1,0.5
CNT_00008,SUP_001,FAB_007,8.25,20586,35,2500,0.1,0.5
CNT_00009,SUP_001,FAB_017,11.59,21110,35,500,0.15,0.6
CNT_00010,SUP_002,FAB_022,5.07,11523,24,1000,0.2,0.6
CNT_00011,SUP_002,FAB_030,15.39,18916,37,5000,0.15,0.7
CNT_00012,SUP_002,FAB_003,16.83,24452,22,5000,0.15,0.6
CNT_00013,SUP_002,FAB_004,7.87,18252,29,2500,0.1,0.6
CNT_00014,SUP_002,FAB_005,6.1,13214,29,5000,0.1,0.7
CNT_00015,SUP_002,FAB_013,13.79,5973,17,500,0.1,0.6
CNT_00016,SUP_002,FAB_025,18.91,10868,26,2500,0.1,0.6
CNT_00017,SUP_002,FAB_023,7.36,8156,38,500,0.2,0.7
CNT_00018,SUP_002,FAB_019,17.14,20270,20,2500,0.2,0.6
CNT_00019,SUP_002,FAB_027,11.4,13574,31,2500,0.2,0.7
CNT_00020,SUP_002,FAB_006,14.77,6035,27,500,0.15,0.6
CNT_00021,SUP_002,FAB_028,16.61,17331,28,5000,0.1,0.5
CNT_00022,SUP_003,FAB_018,10.14,28452,26,5000,0.1,0.7
CNT_00023,SUP_003,FAB_022,5.47,26629,31,5000,0.15,0.7
CNT_00024,SUP_003,FAB_028,18.9,21603,15,5000,0.15,0.6
CNT_00025,SUP_003,FAB_025,18.52,17379,33,2500,0.15,0.6
CNT_00026,SUP_003,FAB_010,4.41,24348,15,1000,0.15,0.6
CNT_00027,SUP_003,FAB_023,7.68,24135,14,2500,0.15,0.5
CNT_00028,SUP_003,FAB_006,16.44,16710,27,2500,0.1,0.7
CNT_00029,SUP_003,FAB_016,4.92,12688,34,2500,0.2,0.5
CNT_00030,SUP_003,FAB_014,19.82,7146,23,500,0.15,0.5
CNT_00031,SUP_004,FAB_018,12.22,13736,14,5000,0.2,0.5
CNT_00032,SUP_004,FAB_011,6.56,17377,32,5000,0.15,0.7
CNT_00033,SUP_004,FAB_002,12.42,21002,17,1000,0.15,0.6
CNT_00034,SUP_004,FAB_015,13.72,26868,24,1000,0.2,0.6
CNT_00035,SUP_004,FAB_022,5.07,19286,20,5000,0.2,0.5
CNT_00036,SUP_004,FAB_014,19.52,22558,20,2500,0.15,0.5
CNT_00037,SUP_004,FAB_019,15.3,23793,26,1000,0.2,0.7
CNT_00038,SUP_004,FAB_017,11.49,28517,32,500,0.2,0.6
CNT_00039,SUP_005,FAB_003,17.05,21536,39,2500,0.15,0.7
CNT_00040,SUP_005,FAB_019,16.25,11556,27,5000,0.15,0.7
CNT_00041,SUP_005,FAB_026,13.45,27005,38,1000,0.1,0.7
CNT_00042,SUP_005,FAB_017,10.84,11112,32,5000,0.1,0.7
CNT_00043,SUP_005,FAB_016,5.84,29320,28,2500,0.2,0.7
CNT_00044,SUP_005,FAB_014,19.38,19212,32,500,0.2,0.5
CNT_00045,SUP_005,FAB_007,7.27,9841,21,1000,0.2,0.7
CNT_00046,SUP_005,FAB_012,13.26,19266,27,2500,0.1,0.7
CNT_00047,SUP_005,FAB_030,15.73,18514,22,2500,0.2,0.5
CNT_00048,SUP_005,FAB_021,11.74,24701,21,5000,0.1,0.5
CNT_00049,SUP_006,FAB_007,7.38,6212,20,1000,0.15,0.5
CNT_00050,SUP_006,FAB_001,9.25,14102,35,1000,0.2,0.5
CNT_00051,SUP_006,FAB_008,16.35,20920,39,500,0.1,0.5
CNT_00052,SUP_006,FAB_026,12.79,14764,16,5000,0.15,0.7
CNT_00053,SUP_006,FAB_010,5.13,7959,26,1000,0.1,0.5
CNT_00054,SUP_006,FAB_015,13.95,21392,17,2500,0.15,0.5
CNT_00055,SUP_006,FAB_016,4.91,9006,38,2500,0.15,0.7
CNT_00056,SUP_006,FAB_018,11.78,29522,37,1000,0.15,0.5
CNT_00057,SUP_006,FAB_014,16.46,10739,20,2500,0.15,0.6
CNT_00058,SUP_007,FAB_028,17.07,27371,21,2500,0.1,0.6
CNT_00059,SUP_007,FAB_019,16.0,17050,40,2500,0.1,0.7
CNT_00060,SUP_007,FAB_002,15.33,24851,15,500,0.2,0.7
CNT_00061,SUP_007,FAB_016,4.91,23111,26,2500,0.2,0.7
CNT_00062,SUP_007,FAB_018,10.76,27454,17,1000,0.15,0.6
CNT_00063,SUP_007,FAB_012,10.96,17877,22,2500,0.1,0.5
CNT_00064,SUP_007,FAB_023,6.79,10250,28,2500,0.2,0.6
CNT_00065,SUP_007,FAB_004,8.1,13979,16,5000,0.15,0.7
CNT_00066,SUP_007,FAB_011,5.74,15902,36,5000,0.1,0.5
CNT_00067,SUP_007,FAB_026,14.05,21591,16,2500,0.15,0.7
CNT_00068,SUP_008,FAB_024,4.27,11556,34,2500,0.15,0.7
CNT_00069,SUP_008,FAB_011,5.27,10171,21,1000,0.2,0.7
CNT_00070,SUP_008,FAB_015,13.41,15466,28,5000,0.2,0.5
CNT_00071,SUP_008,FAB_023,6.73,27526,32,2500,0.15,0.5
CNT_00072,SUP_008,FAB_001,9.4,17045,19,5000,0.15,0.7
CNT_00073,SUP_008,FAB_025,16.9,5752,31,1000,0.1,0.6
CNT_00074,SUP_008,FAB_002,12.75,27978,19,500,0.15,0.7
CNT_00075,SUP_008,FAB_021,12.27,13524,18,500,0.15,0.5
CNT_00076,SUP_008,FAB_027,12.68,8845,14,5000,0.15,0.7
CNT_00077,SUP_008,FAB_006,16.71,12355,36,1000,0.1,0.6
CNT_00078,SUP_008,FAB_028,16.49,21192,26,1000,0.15,0.5
CNT_00079,SUP_008,FAB_005,6.91,14272,37,1000,0.15,0.5
CNT_00080,SUP_009,FAB_026,14.0,20013,16,500,0.15,0.5
CNT_00081,SUP_009,FAB_005,7.36,27708,26,1000,0.2,0.6
CNT_00082,SUP_009,FAB_001,10.99,29120,33,2500,0.1,0.5
CNT_00083,SUP_009,FAB_010,5.01,6707,24,1000,0.15,0.6
CNT_00084,SUP_009,FAB_009,10.06,26980,39,500,0.1,0.6
CNT_00085,SUP_009,FAB_008,14.7,17482,23,5000,0.2,0.6
CNT_00086,SUP_009,FAB_020,8.32,23335,15,1000,0.15,0.5
CNT_00087,SUP_009,FAB_015,13.73,16114,28,1000,0.1,0.6
CNT_00088,SUP_009,FAB_025,19.05,19186,18,2500,0.1,0.6
CNT_00089,SUP_009,FAB_012,11.07,9190,29,2500,0.2,0.6
CNT_00090,SUP_009,FAB_019,17.77,14270,22,2500,0.2,0.6
CNT_00091,SUP_010,FAB_029,8.48,9870,15,1000,0.1,0.5
CNT_00092,SUP_010,FAB_006,16.62,10359,36,5000,0.15,0.5
CNT_00093,SUP_010,FAB_011,6.57,21217,15,5000,0.15,0.7
CNT_00094,SUP_010,FAB_024,4.93,19999,29,500,0.2,0.5
CNT_00095,SUP_010,FAB_016,4.77,8066,20,2500,0.1,0.5
CNT_00096,SUP_010,FAB_025,19.23,13938,32,1000,0.2,0.5
CNT_00097,SUP_010,FAB_005,6.79,23703,19,5000,0.1,0.5
